EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 28-01-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGHT   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
   39,175616,MARIGNANE                               ,FR,+43:26:16,+005:12:58,   9,HU13,19210101,20201231,   10,Jean-Michel Soubeyroux                            
   39,175617,MARIGNANE                               ,FR,+43:26:16,+005:12:58,   9,FG12,19210101,20201231,   10,Jean-Michel Soubeyroux                            
   39,190888,MARIGNANE                               ,FR,+43:26:16,+005:12:58,   9, QQ5,19800101,20191231,   72,Anatoly V. Tsvetkov                               
   39,209886,MARIGNANE                               ,FR,+43:26:16,+005:12:58,   9, QQ6,19601201,20050101,   10,Jean-Michel Soubeyroux                            
  322,104924,RENNES-ST JACQUES                       ,FR,+48:04:08,-001:44:02,  36, RR9,19441101,20201231,   10,Jean-Michel Soubeyroux                            
  322,104925,RENNES-ST JACQUES                       ,FR,+48:04:08,-001:44:02,  36, TX6,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  322,104926,RENNES-ST JACQUES                       ,FR,+48:04:08,-001:44:02,  36, TN2,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  322,106713,RENNES-ST JACQUES                       ,FR,+48:04:08,-001:44:02,  36, TG5,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  322,175651,RENNES-ST JACQUES                       ,FR,+48:04:08,-001:44:02,  36,PP23,19910410,20201231,   10,Jean-Michel Soubeyroux                            
  322,175652,RENNES-ST JACQUES                       ,FR,+48:04:08,-001:44:02,  36,HU13,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  322,175653,RENNES-ST JACQUES                       ,FR,+48:04:08,-001:44:02,  36,FG12,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  322,190826,RENNES-ST JACQUES                       ,FR,+48:04:08,-001:44:02,  36, QQ5,19671001,20191231,   72,Anatoly V. Tsvetkov                               
  323,104960,STRASBOURG-ENTZHEIM                     ,FR,+48:32:58,+007:38:25, 150, RR9,19230501,20201231,   10,Jean-Michel Soubeyroux                            
  323,104961,STRASBOURG-ENTZHEIM                     ,FR,+48:32:58,+007:38:25, 150, TX6,19240101,20201231,   10,Jean-Michel Soubeyroux                            
  323,104962,STRASBOURG-ENTZHEIM                     ,FR,+48:32:58,+007:38:25, 150, TN2,19240101,20201231,   10,Jean-Michel Soubeyroux                            
  323,106770,STRASBOURG-ENTZHEIM                     ,FR,+48:32:58,+007:38:25, 150, TG5,19240101,20201231,   10,Jean-Michel Soubeyroux                            
  323,176124,STRASBOURG-ENTZHEIM                     ,FR,+48:32:58,+007:38:25, 150,PP23,19910409,20201231,   10,Jean-Michel Soubeyroux                            
  323,176125,STRASBOURG-ENTZHEIM                     ,FR,+48:32:58,+007:38:25, 150,HU13,19411001,20201231,   10,Jean-Michel Soubeyroux                            
  323,176126,STRASBOURG-ENTZHEIM                     ,FR,+48:32:58,+007:38:25, 150,FG12,19450601,20201231,   10,Jean-Michel Soubeyroux                            
  323,190821,STRASBOURG-ENTZHEIM                     ,FR,+48:32:58,+007:38:25, 150, QQ5,19740801,20191231,   72,Anatoly V. Tsvetkov                               
  433,190887,BIARRITZ-ANGLET                         ,FR,+43:28:09,-001:32:03,  71, QQ5,20110315,20191231,   72,Anatoly V. Tsvetkov                               
  434,104484,BREST-GUIPAVAS                          ,FR,+48:26:39,-004:24:43,  94, RR9,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  434,104485,BREST-GUIPAVAS                          ,FR,+48:26:39,-004:24:43,  94, TG5,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  434,104486,BREST-GUIPAVAS                          ,FR,+48:26:39,-004:24:43,  94, TN2,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  434,104487,BREST-GUIPAVAS                          ,FR,+48:26:39,-004:24:43,  94, TX6,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  434,175641,BREST-GUIPAVAS                          ,FR,+48:26:39,-004:24:43,  94,PP23,19500101,20201231,   10,Jean-Michel Soubeyroux                            
  434,175642,BREST-GUIPAVAS                          ,FR,+48:26:39,-004:24:43,  94,HU13,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  434,175643,BREST-GUIPAVAS                          ,FR,+48:26:39,-004:24:43,  94,FG12,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  434,190823,BREST-GUIPAVAS                          ,FR,+48:26:39,-004:24:43,  94, QQ5,19870301,20191230,   72,Anatoly V. Tsvetkov                               
  736,104036,ABBEVILLE                               ,FR,+50:08:10,+001:50:02,  69, RR9,19220501,20201231,   10,Jean-Michel Soubeyroux                            
  736,104037,ABBEVILLE                               ,FR,+50:08:10,+001:50:02,  69, TG5,19220501,20201231,   10,Jean-Michel Soubeyroux                            
  736,104038,ABBEVILLE                               ,FR,+50:08:10,+001:50:02,  69, TN2,19220501,20201231,   10,Jean-Michel Soubeyroux                            
  736,104039,ABBEVILLE                               ,FR,+50:08:10,+001:50:02,  69, TX6,19220501,20201231,   10,Jean-Michel Soubeyroux                            
  736,176135,ABBEVILLE                               ,FR,+50:08:10,+001:50:02,  69,PP23,19910409,20201231,   10,Jean-Michel Soubeyroux                            
  736,176136,ABBEVILLE                               ,FR,+50:08:10,+001:50:02,  69,HU13,19220501,20201231,   10,Jean-Michel Soubeyroux                            
  736,176137,ABBEVILLE                               ,FR,+50:08:10,+001:50:02,  69,FG12,19220501,20201231,   10,Jean-Michel Soubeyroux                            
  736,190806,ABBEVILLE                               ,FR,+50:08:10,+001:50:02,  69, QQ5,20111111,20191231,   72,Anatoly V. Tsvetkov                               
  737,104040,LILLE-LESQUIN                           ,FR,+50:34:12,+003:05:51,  47, RR9,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  737,104041,LILLE-LESQUIN                           ,FR,+50:34:12,+003:05:51,  47, TG5,19441201,20201231,   10,Jean-Michel Soubeyroux                            
  737,104042,LILLE-LESQUIN                           ,FR,+50:34:12,+003:05:51,  47, TN2,19441201,20201231,   10,Jean-Michel Soubeyroux                            
  737,104043,LILLE-LESQUIN                           ,FR,+50:34:12,+003:05:51,  47, TX6,19441201,20201231,   10,Jean-Michel Soubeyroux                            
  737,176110,LILLE-LESQUIN                           ,FR,+50:34:12,+003:05:51,  47,PP23,19910402,20201231,   10,Jean-Michel Soubeyroux                            
  737,176111,LILLE-LESQUIN                           ,FR,+50:34:12,+003:05:51,  47,HU13,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  737,176112,LILLE-LESQUIN                           ,FR,+50:34:12,+003:05:51,  47,FG12,19450101,20201231,   10,Jean-Michel Soubeyroux                            
  737,190804,LILLE-LESQUIN                           ,FR,+50:34:12,+003:05:51,  47, QQ5,20110610,20171230,   72,Anatoly V. Tsvetkov                               
  738,104044,CAEN-CARPIQUET                          ,FR,+49:10:48,-000:27:22,  67, RR9,19441013,20201231,   10,Jean-Michel Soubeyroux                            
  738,104045,CAEN-CARPIQUET                          ,FR,+49:10:48,-000:27:22,  67, TG5,19451001,20201231,   10,Jean-Michel Soubeyroux                            
  738,104046,CAEN-CARPIQUET                          ,FR,+49:10:48,-000:27:22,  67, TN2,19451001,20201231,   10,Jean-Michel Soubeyroux                            
  738,104047,CAEN-CARPIQUET                          ,FR,+49:10:48,-000:27:22,  67, TX6,19451001,20201231,   10,Jean-Michel Soubeyroux                            
  738,175618,CAEN-CARPIQUET                          ,FR,+49:10:48,-000:27:22,  67,PP23,19910408,20201231,   10,Jean-Michel Soubeyroux                            
  738,175619,CAEN-CARPIQUET                          ,FR,+49:10:48,-000:27:22,  67,HU13,19441013,20201231,   10,Jean-Michel Soubeyroux                            
  738,175620,CAEN-CARPIQUET                          ,FR,+49:10:48,-000:27:22,  67,FG12,19450501,20201231,   10,Jean-Michel Soubeyroux                            
  738,190811,CAEN-CARPIQUET                          ,FR,+49:10:48,-000:27:22,  67, QQ5,19740101,20191231,   72,Anatoly V. Tsvetkov                               
  739,104048,REIMS-PRUNAY                            ,FR,+49:12:35,+004:09:19,  95, RR9,20120507,20201231,   10,Jean-Michel Soubeyroux                            
  739,104049,REIMS-PRUNAY                            ,FR,+49:12:35,+004:09:19,  95, TG5,20120508,20201231,   10,Jean-Michel Soubeyroux                            
  739,104050,REIMS-PRUNAY                            ,FR,+49:12:35,+004:09:19,  95, TN2,20120508,20201231,   10,Jean-Michel Soubeyroux                            
  739,104051,REIMS-PRUNAY                            ,FR,+49:12:35,+004:09:19,  95, TX6,20120508,20201231,   10,Jean-Michel Soubeyroux                            
  739,175672,REIMS-PRUNAY                            ,FR,+49:12:35,+004:09:19,  95,PP23,20120508,20201231,   10,Jean-Michel Soubeyroux                            
  739,175673,REIMS-PRUNAY                            ,FR,+49:12:35,+004:09:19,  95,HU13,20120508,20201231,   10,Jean-Michel Soubeyroux                            
  739,175674,REIMS-PRUNAY                            ,FR,+49:12:35,+004:09:19,  95,FG12,20120524,20201231,   10,Jean-Michel Soubeyroux                            
